	MeSH Disease Term	PubMed occurrence
1911	Периапикальный периодонтит	857
1912	Сифилис, Врожденный	856
1913	Гиперплазия десен	855
1914	токсоплазмоз, глазной	854
1915	Каталепсия	852
1916	Синдром гиперстимуляции яичников	852
1917	Болезнь Педжета, экстрамаммарная	851
1918	Кожный свищ	850
1919	Лимфома, Крупноклеточная, Анапластическая	849
1920	нейроцистицеркоз	847
1921	Полихондрит, рецидивирующий	846
1922	Свищ мочевого пузыря	843
1923	Агрессивный пародонтит	842
1924	Синдром Вильямса	842
1925	Тубулярный некроз почки, острый	842
1926	Гепатит, Вирусный, Животное	841
1927	Дивертикулит	840
1928	Уретральная обструкция	837
1929	Метроррагия	837
1930	Синдром Нунан	836
1931	Переломы ребер	835
1932	Новообразования верхнечелюстной пазухи	833
1933	Фибромускулярная дисплазия	832
1934	Эпилепсия, комплексная парциальная	831
1935	Расстройства поведения	830
1936	тейлериоз	829
1937	Синдром Сезари	829
1938	Аденома, оксифильная	826
1939	Предыдущая плацента	826
1940	Такоцубо Кардиомиопатия	825
1941	Врожденный гипотиреоз	824
1942	Рассеянный склероз, хронический прогрессирующий	823
1943	Ларингостеноз	822
1944	Стоматологическая окклюзия, травматическая	821
1945	Тетания	821
1946	Аденома, желчный проток	819
1947	Болезнь Легга-Пертеса	819
1948	Эпифизы, поскользнувшиеся	818
1949	Кожные заболевания, сосудистые	818
1950	Новообразования нервной оболочки	816
1951	Экзокринная недостаточность поджелудочной железы	815
1952	Расстройства сознания	815
1953	Синдром Мюнхгаузена	815
1954	Лихорадка Западного Нила	813
1955	Эндомиокардиальный фиброз	812
1956	Болезнь накопления гликогена I типа	812
1957	Заболевания губ	810
1958	Дизартрия	810
1959	Множественная эндокринная неоплазия 1 типа	809
1960	Сосудистые мальформации центральной нервной системы	809
1961	Мукополисахаридоз I	809
1962	Мастоидит	808
1963	Псевдогипопаратиреоз	807
1964	Нарушения моторики пищевода	807
1965	Дыхательный паралич	807
1966	Болезнь Марека	806
1967	Дефицит внимания и расстройства разрушительного поведения	806
1968	энтероколит	803
1969	гомоцистинурия	803
1970	Бруксизм	802
1971	Афазия, Брока	802
